epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7049.73,0.72672,0.5579,1.02687,0.81643,0.77467,0.77948,0.64608,0.71555,0.87843,1.02592,0.007228,0.007228,0.007228
44,7213.02,0.71528,0.5501,1.02037,0.80824,0.77608,0.77856,0.64215,0.72276,0.88628,1.03256,0.007162,0.007162,0.007162
45,7376.09,0.71756,0.54746,1.01787,0.81344,0.77255,0.78625,0.64967,0.71621,0.87143,1.0292,0.007096,0.007096,0.007096
46,7539.12,0.71579,0.54154,1.02067,0.82446,0.76345,0.78085,0.64816,0.71243,0.87291,1.0253,0.00703,0.00703,0.00703
47,7702.74,0.70633,0.53562,1.01057,0.8252,0.76863,0.78179,0.65197,0.7096,0.86838,1.02436,0.006964,0.006964,0.006964
48,7865.84,0.71197,0.53534,1.01643,0.82891,0.77315,0.78108,0.65381,0.70229,0.85186,1.02082,0.006898,0.006898,0.006898
49,8029.11,0.70417,0.53324,1.0145,0.81852,0.77537,0.78334,0.65458,0.69856,0.86269,1.01826,0.006832,0.006832,0.006832
50,8192.51,0.69614,0.52334,1.00964,0.82842,0.77094,0.78302,0.65522,0.69051,0.85883,1.01311,0.006766,0.006766,0.006766
51,8355.64,0.69234,0.51791,1.00662,0.82347,0.77236,0.7856,0.65639,0.69185,0.85235,1.01654,0.0067,0.0067,0.0067
52,8519.06,0.69172,0.51828,1.00451,0.81886,0.77653,0.79111,0.66361,0.68661,0.84047,1.01129,0.006634,0.006634,0.006634
53,8682.51,0.692,0.51442,1.00644,0.82941,0.7726,0.80246,0.67075,0.68611,0.85408,1.01345,0.006568,0.006568,0.006568
54,8846.01,0.68187,0.51059,1.00318,0.82321,0.77986,0.8022,0.67173,0.68558,0.85922,1.01486,0.006502,0.006502,0.006502
55,9009.11,0.68175,0.50677,1.00353,0.82398,0.78551,0.79966,0.66966,0.68472,0.85176,1.0148,0.006436,0.006436,0.006436
56,9172.05,0.67687,0.50058,0.99796,0.81996,0.78353,0.80287,0.67248,0.68427,0.85146,1.01563,0.00637,0.00637,0.00637
57,9335.21,0.68068,0.50118,1.00255,0.82982,0.77744,0.80422,0.67464,0.68126,0.84825,1.01043,0.006304,0.006304,0.006304
58,9498.6,0.67515,0.4968,0.99854,0.82978,0.77601,0.80501,0.67563,0.67941,0.84797,1.01004,0.006238,0.006238,0.006238
59,9661.59,0.6687,0.48763,0.99499,0.83233,0.77818,0.80296,0.67285,0.67689,0.84867,1.00944,0.006172,0.006172,0.006172
60,9824.72,0.66678,0.49181,0.99356,0.82192,0.7859,0.80109,0.67356,0.67436,0.84685,1.00732,0.006106,0.006106,0.006106
61,9987.89,0.66464,0.48578,0.99173,0.8301,0.77934,0.79683,0.67297,0.67041,0.84516,1.00497,0.00604,0.00604,0.00604
62,10151,0.65843,0.48034,0.98905,0.83432,0.77614,0.79756,0.67411,0.6673,0.8459,1.00286,0.005974,0.005974,0.005974
63,10314.5,0.65608,0.47841,0.98907,0.83138,0.7768,0.80211,0.67807,0.66298,0.84978,1.00004,0.005908,0.005908,0.005908
64,10477.8,0.64732,0.47147,0.98475,0.83232,0.77885,0.80253,0.68158,0.66012,0.8497,0.99777,0.005842,0.005842,0.005842
65,10641.1,0.64823,0.47179,0.98544,0.83357,0.77974,0.80098,0.68037,0.66151,0.85274,1.00123,0.005776,0.005776,0.005776
66,10804.5,0.64577,0.46953,0.98244,0.83806,0.77722,0.8027,0.68368,0.66086,0.84797,1.00065,0.00571,0.00571,0.00571
67,10967.5,0.63913,0.46127,0.98053,0.83641,0.78118,0.79835,0.68186,0.65932,0.84762,0.99964,0.005644,0.005644,0.005644
68,11130.4,0.63834,0.45997,0.98135,0.83557,0.78155,0.79914,0.68245,0.6562,0.84424,0.99823,0.005578,0.005578,0.005578
69,11293.8,0.6397,0.46254,0.97917,0.83331,0.78414,0.80017,0.68292,0.65401,0.84037,0.99638,0.005512,0.005512,0.005512
70,11457,0.63789,0.4596,0.97874,0.83236,0.78794,0.802,0.68404,0.65271,0.8364,0.99666,0.005446,0.005446,0.005446
71,11620.4,0.63626,0.45889,0.97945,0.8365,0.78447,0.80827,0.68535,0.65105,0.83335,0.99613,0.00538,0.00538,0.00538
72,11783.5,0.62807,0.44912,0.97504,0.8336,0.78488,0.80169,0.68356,0.64933,0.83222,0.99542,0.005314,0.005314,0.005314
73,11946.5,0.63043,0.45153,0.9747,0.83622,0.78409,0.80126,0.68439,0.64614,0.83089,0.99191,0.005248,0.005248,0.005248
74,12109.9,0.62318,0.44424,0.97287,0.83932,0.7831,0.8017,0.68422,0.64442,0.82975,0.99137,0.005182,0.005182,0.005182
75,12272.9,0.62077,0.44487,0.97334,0.83948,0.78384,0.79974,0.68385,0.64206,0.82838,0.9888,0.005116,0.005116,0.005116
76,12436.1,0.61786,0.43954,0.97171,0.83944,0.78254,0.79949,0.68482,0.6409,0.82903,0.98799,0.00505,0.00505,0.00505
77,12599.3,0.61261,0.43793,0.96806,0.83714,0.78363,0.80154,0.685,0.63924,0.82899,0.98637,0.004984,0.004984,0.004984
78,12762.9,0.61362,0.4363,0.96842,0.83126,0.78996,0.80109,0.68536,0.63745,0.83044,0.98456,0.004918,0.004918,0.004918
79,12926.2,0.61203,0.43251,0.96808,0.83171,0.79014,0.80076,0.68557,0.63637,0.83272,0.98431,0.004852,0.004852,0.004852
80,13089.7,0.60638,0.42952,0.96667,0.83257,0.78805,0.80035,0.68595,0.63448,0.83152,0.98321,0.004786,0.004786,0.004786
81,13253,0.60444,0.42694,0.96184,0.83382,0.78781,0.80208,0.68736,0.63358,0.83273,0.98291,0.00472,0.00472,0.00472
82,13416.7,0.59881,0.42393,0.96118,0.83468,0.7885,0.79907,0.68613,0.63305,0.83331,0.98264,0.004654,0.004654,0.004654
83,13579.9,0.60305,0.42351,0.96428,0.83293,0.78964,0.79911,0.68675,0.63255,0.83244,0.98214,0.004588,0.004588,0.004588
84,13743,0.60019,0.42128,0.96337,0.83364,0.78917,0.79901,0.68687,0.63181,0.83213,0.98209,0.004522,0.004522,0.004522
