epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8468.26,0.62944,0.47681,1.06982,0.91989,0.91013,0.94623,0.86343,0.44824,0.33532,0.92041,0.007228,0.007228,0.007228
44,8664.68,0.63065,0.4832,1.07457,0.92685,0.90989,0.94665,0.86613,0.44366,0.33149,0.91644,0.007162,0.007162,0.007162
45,8861.07,0.62466,0.47601,1.06843,0.92155,0.9218,0.94373,0.86745,0.43486,0.32145,0.90988,0.007096,0.007096,0.007096
46,9057.4,0.62127,0.48051,1.06656,0.90827,0.92395,0.94853,0.86767,0.43348,0.32787,0.91118,0.00703,0.00703,0.00703
47,9253.79,0.61001,0.46576,1.06517,0.905,0.92325,0.94741,0.86852,0.43111,0.33401,0.90899,0.006964,0.006964,0.006964
48,9450.2,0.61314,0.47237,1.06846,0.90926,0.91989,0.94554,0.86689,0.42836,0.32954,0.90683,0.006898,0.006898,0.006898
49,9646.47,0.61726,0.47165,1.07009,0.93186,0.88989,0.93956,0.85965,0.43482,0.34482,0.91287,0.006832,0.006832,0.006832
50,9842.58,0.60745,0.46241,1.06045,0.92943,0.9062,0.94669,0.86814,0.42516,0.31887,0.90392,0.006766,0.006766,0.006766
51,10039.1,0.60718,0.45801,1.06099,0.92845,0.91048,0.94589,0.8702,0.42685,0.31464,0.90175,0.0067,0.0067,0.0067
52,10235.4,0.60374,0.45778,1.06223,0.91962,0.90957,0.94247,0.86776,0.43146,0.31499,0.90934,0.006634,0.006634,0.006634
53,10432,0.59931,0.44889,1.05447,0.89401,0.93311,0.94773,0.87341,0.41917,0.31887,0.90289,0.006568,0.006568,0.006568
54,10628.5,0.5979,0.45039,1.04933,0.93344,0.91265,0.94868,0.87437,0.41589,0.31169,0.89776,0.006502,0.006502,0.006502
55,10824.9,0.59488,0.44974,1.05605,0.9075,0.92941,0.94758,0.87597,0.40983,0.30899,0.8978,0.006436,0.006436,0.006436
56,11021.3,0.58635,0.44259,1.04927,0.92231,0.91271,0.94503,0.87171,0.41571,0.30676,0.90173,0.00637,0.00637,0.00637
57,11217.6,0.59149,0.44039,1.04903,0.93511,0.90831,0.94719,0.87785,0.40923,0.3064,0.89589,0.006304,0.006304,0.006304
58,11414.2,0.58609,0.43762,1.04776,0.94119,0.90356,0.94473,0.87591,0.41122,0.31013,0.89915,0.006238,0.006238,0.006238
59,11610.4,0.57675,0.43328,1.04167,0.91842,0.91802,0.94647,0.87748,0.40612,0.30258,0.89393,0.006172,0.006172,0.006172
60,11806.7,0.57716,0.43253,1.04171,0.9134,0.92816,0.94894,0.87985,0.41018,0.29803,0.90093,0.006106,0.006106,0.006106
61,12003.2,0.58572,0.42875,1.04934,0.9291,0.92488,0.95128,0.88335,0.40376,0.29945,0.89722,0.00604,0.00604,0.00604
62,12199.9,0.57178,0.43084,1.04071,0.91731,0.92371,0.94886,0.88457,0.39447,0.30023,0.89031,0.005974,0.005974,0.005974
63,12396.3,0.57671,0.42856,1.0404,0.93361,0.91913,0.95019,0.88354,0.39733,0.30109,0.88801,0.005908,0.005908,0.005908
64,12593.1,0.55905,0.41132,1.03106,0.92257,0.92448,0.94739,0.886,0.38754,0.29336,0.8851,0.005842,0.005842,0.005842
65,12789.7,0.56102,0.42056,1.03091,0.93524,0.90361,0.94651,0.88328,0.38752,0.2961,0.88611,0.005776,0.005776,0.005776
66,12986,0.5515,0.41295,1.03242,0.92533,0.92146,0.94667,0.88264,0.38718,0.29761,0.88906,0.00571,0.00571,0.00571
67,13182.4,0.55933,0.41447,1.03216,0.9296,0.92186,0.94739,0.88501,0.38499,0.284,0.8834,0.005644,0.005644,0.005644
68,13378.7,0.55671,0.41293,1.02635,0.91443,0.93129,0.94962,0.88867,0.38546,0.28768,0.88358,0.005578,0.005578,0.005578
69,13575.1,0.54172,0.40259,1.01833,0.91692,0.92705,0.94852,0.88836,0.3838,0.28693,0.88086,0.005512,0.005512,0.005512
70,13771.2,0.54179,0.39816,1.01682,0.93039,0.92418,0.95072,0.88938,0.38134,0.28956,0.88095,0.005446,0.005446,0.005446
71,13967.8,0.53976,0.40413,1.01996,0.93131,0.91222,0.9488,0.88794,0.3733,0.28242,0.87566,0.00538,0.00538,0.00538
72,14163.8,0.53647,0.3904,1.01913,0.91767,0.93049,0.94776,0.88825,0.37698,0.28427,0.88088,0.005314,0.005314,0.005314
73,14360.3,0.54115,0.39447,1.01954,0.93087,0.91891,0.94775,0.88942,0.36972,0.27373,0.8761,0.005248,0.005248,0.005248
74,14556.6,0.53611,0.39441,1.02127,0.94545,0.90348,0.95108,0.89326,0.3707,0.2766,0.87861,0.005182,0.005182,0.005182
75,14753.1,0.53818,0.38848,1.01711,0.92277,0.93047,0.95129,0.89145,0.37368,0.27753,0.87747,0.005116,0.005116,0.005116
