epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.066,0.81581,0.84409,1.17348,0.76926,0.8,0.82324,0.64307,0.79679,0.84906,1.18912,8.98978e-05,8.98978e-05,8.98978e-05
2,778.178,0.89204,0.95758,1.22846,0.81374,0.80359,0.82941,0.64339,0.8289,0.85057,1.21896,0.000160109,0.000160109,0.000160109
3,1158,0.88635,0.93369,1.21953,0.86379,0.76614,0.84257,0.67428,0.77966,0.73963,1.17095,0.00021052,0.00021052,0.00021052
4,1537.08,0.87356,0.86787,1.21063,0.83082,0.82246,0.85333,0.69683,0.73802,0.69615,1.14415,0.0001809,0.0001809,0.0001809
5,1916.06,0.83394,0.77504,1.18445,0.79946,0.84629,0.86065,0.7172,0.69133,0.63248,1.10181,0.0001512,0.0001512,0.0001512
6,2295.14,0.807,0.72182,1.16761,0.84295,0.85613,0.87441,0.7321,0.67575,0.58374,1.08731,0.0001215,0.0001215,0.0001215
7,2676.06,0.7618,0.6572,1.14218,0.85043,0.86807,0.88146,0.7534,0.64881,0.54401,1.06104,9.18e-05,9.18e-05,9.18e-05
8,3058.5,0.74061,0.6156,1.12789,0.84049,0.88175,0.89359,0.76666,0.62378,0.51532,1.04663,6.21e-05,6.21e-05,6.21e-05
9,3442.63,0.70602,0.57739,1.10921,0.88562,0.88111,0.90655,0.78254,0.6013,0.48662,1.02471,3.24e-05,3.24e-05,3.24e-05
