epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7571.38,0.73717,0.59745,1.08777,0.88143,0.89436,0.90598,0.79875,0.58679,0.51435,0.99975,0.007228,0.007228,0.007228
44,7747.47,0.73761,0.5939,1.08555,0.87322,0.89854,0.90337,0.79752,0.58426,0.5053,0.99737,0.007162,0.007162,0.007162
45,7923.41,0.72951,0.58642,1.08723,0.87784,0.89667,0.90892,0.80124,0.585,0.51967,0.99806,0.007096,0.007096,0.007096
46,8099.76,0.73275,0.59,1.08579,0.87773,0.90131,0.91142,0.80517,0.57834,0.50705,0.99173,0.00703,0.00703,0.00703
47,8276.44,0.73198,0.58236,1.08687,0.87233,0.90428,0.9116,0.80726,0.57789,0.51394,0.99393,0.006964,0.006964,0.006964
48,8452.68,0.72541,0.58357,1.08005,0.89005,0.89809,0.91082,0.80874,0.57614,0.50299,0.99468,0.006898,0.006898,0.006898
49,8628.06,0.7238,0.58192,1.08084,0.88223,0.89834,0.90977,0.80806,0.57398,0.50247,0.99039,0.006832,0.006832,0.006832
50,8803.12,0.72293,0.5753,1.08203,0.88367,0.90074,0.9098,0.8096,0.56877,0.48666,0.98819,0.006766,0.006766,0.006766
51,8978.25,0.7162,0.56521,1.07565,0.88081,0.90035,0.9092,0.80941,0.56679,0.48488,0.98675,0.0067,0.0067,0.0067
52,9153.46,0.71144,0.57172,1.07662,0.87746,0.90318,0.91205,0.81294,0.56649,0.48106,0.98696,0.006634,0.006634,0.006634
53,9328.87,0.71163,0.56486,1.07216,0.88155,0.89931,0.90881,0.81184,0.5666,0.48739,0.98846,0.006568,0.006568,0.006568
54,9503.96,0.70799,0.56152,1.07197,0.8803,0.90636,0.91034,0.81296,0.56572,0.48389,0.98768,0.006502,0.006502,0.006502
