epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,381.818,1.2451,3.13584,1.23357,0.54668,0.15871,0.13479,0.08938,1.29466,2.61759,1.28574,2.09906e-05,2.09906e-05,2.09906e-05
2,749.915,1.18858,2.47636,1.212,0.56112,0.24886,0.22431,0.14838,1.23361,2.13405,1.26778,3.15979e-05,3.15979e-05,3.15979e-05
3,1112.12,1.1362,2.08423,1.1851,0.59408,0.28601,0.2788,0.18636,1.19324,1.88089,1.23487,3.18102e-05,3.18102e-05,3.18102e-05
4,1471.62,1.10112,1.88022,1.16372,0.6298,0.28688,0.29866,0.20195,1.17332,1.79717,1.22502,1.62225e-05,1.62225e-05,1.62225e-05
